Weghorst,Wout,Wolfsburg
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.37,50
NON_PEN_XG,0.47,81
TOTAL_SHOTS,2.61,60
ASSISTS,0.20,77
XA,0.13,56
NON_PEN_XG+XA,0.60,76
SHOT_CREATIONS,2.31,57
PASSES_ATTEMPTED,25.17,59
PASS_COMPLETION_PERCENTAGE,68.5,25
PROGRESSIVE_PASSES,1.62,58
PROGRESSIVE CARRIES,1.47,9
DRIBBLES_COMPLETED,0.52,18
TOUCHES_IN_AREA,6.04,79
PROGRESSIVE_PASSES_RECIEVED,6.89,38
PRESSURES,20.77,93
TACKLES,0.62,45
INTERCEPTIONS,0.15,5
BLOCKS,0.77,54
CLEARANCES,0.85,73
AERIAL_DUELS_WON,3.63,81
