Djimsiti,Berat,Atalanta
DF,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.07,83
TOTAL_SHOTS,0.75,82
ASSISTS,0.08,95
XA,0.05,95
NON_PEN_XG+XA,0.12,94
SHOT_CREATIONS,1.31,97
PASSES_ATTEMPTED,58.54,67
PASS_COMPLETION_PERCENTAGE,86.4,46
PROGRESSIVE_PASSES,4.48,92
PROGRESSIVE CARRIES,5.42,95
DRIBBLES_COMPLETED,0.22,55
TOUCHES_IN_AREA,1.75,98
PROGRESSIVE_PASSES_RECIEVED,1.22,98
PRESSURES,10.85,76
TACKLES,1.59,59
INTERCEPTIONS,1.78,56
BLOCKS,1.47,30
CLEARANCES,3.67,11
AERIAL_DUELS_WON,2.70,56
