Zappacosta,Davide,Atalanta
RB,RM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.11,85
NON_PEN_XG,0.11,95
TOTAL_SHOTS,1.71,98
ASSISTS,0.16,83
XA,0.12,78
NON_PEN_XG+XA,0.24,88
SHOT_CREATIONS,2.30,82
PASSES_ATTEMPTED,49.84,37
PASS_COMPLETION_PERCENTAGE,81.0,72
PROGRESSIVE_PASSES,2.85,21
PROGRESSIVE CARRIES,6.13,80
DRIBBLES_COMPLETED,1.03,67
TOUCHES_IN_AREA,3.53,95
PROGRESSIVE_PASSES_RECIEVED,3.23,82
PRESSURES,15.48,82
TACKLES,1.44,14
INTERCEPTIONS,0.76,1
BLOCKS,1.44,15
CLEARANCES,1.46,12
AERIAL_DUELS_WON,0.46,9
