"b'Pasalic, Mario'",Atalanta
AM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.62,97
NON_PEN_XG,0.43,94
TOTAL_SHOTS,1.81,39
ASSISTS,0.33,89
XA,0.25,83
NON_PEN_XG+XA,0.69,95
SHOT_CREATIONS,2.72,26
PASSES_ATTEMPTED,43.93,69
PASS_COMPLETION_PERCENTAGE,80.2,77
PROGRESSIVE_PASSES,3.96,71
PROGRESSIVE CARRIES,4.58,19
DRIBBLES_COMPLETED,1.00,18
TOUCHES_IN_AREA,4.11,55
PROGRESSIVE_PASSES_RECIEVED,6.88,61
PRESSURES,19.96,80
TACKLES,1.53,63
INTERCEPTIONS,1.05,64
BLOCKS,1.53,78
CLEARANCES,1.15,91
AERIAL_DUELS_WON,2.39,97
