Lovato,Matteo,Atalanta
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.00,1
TOTAL_SHOTS,0.09,2
ASSISTS,0.00,28
XA,0.01,34
NON_PEN_XG+XA,0.02,4
SHOT_CREATIONS,0.63,62
PASSES_ATTEMPTED,43.75,20
PASS_COMPLETION_PERCENTAGE,82.0,18
PROGRESSIVE_PASSES,1.61,12
PROGRESSIVE CARRIES,2.24,40
DRIBBLES_COMPLETED,0.27,66
TOUCHES_IN_AREA,0.27,5
PROGRESSIVE_PASSES_RECIEVED,0.27,75
PRESSURES,11.90,83
TACKLES,1.88,74
INTERCEPTIONS,1.70,48
BLOCKS,1.43,25
CLEARANCES,4.65,40
AERIAL_DUELS_WON,4.12,94
