Gosens,Robin,Atalanta
CM,DM,FB
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.35,99
NON_PEN_XG,0.26,99
TOTAL_SHOTS,1.97,99
ASSISTS,0.14,76
XA,0.08,54
NON_PEN_XG+XA,0.34,99
SHOT_CREATIONS,1.94,67
PASSES_ATTEMPTED,57.92,73
PASS_COMPLETION_PERCENTAGE,82.5,81
PROGRESSIVE_PASSES,6.65,96
PROGRESSIVE CARRIES,4.57,53
DRIBBLES_COMPLETED,0.49,20
TOUCHES_IN_AREA,3.81,98
PROGRESSIVE_PASSES_RECIEVED,3.88,93
PRESSURES,12.06,43
TACKLES,1.84,39
INTERCEPTIONS,1.73,59
BLOCKS,1.66,34
CLEARANCES,1.46,12
AERIAL_DUELS_WON,1.49,70
