Soumaoro,Adama,Bologna
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,44
NON_PEN_XG,0.07,85
TOTAL_SHOTS,0.45,44
ASSISTS,0.00,28
XA,0.00,13
NON_PEN_XG+XA,0.08,74
SHOT_CREATIONS,0.52,49
PASSES_ATTEMPTED,47.01,31
PASS_COMPLETION_PERCENTAGE,91.6,90
PROGRESSIVE_PASSES,1.80,16
PROGRESSIVE CARRIES,1.77,28
DRIBBLES_COMPLETED,0.17,40
TOUCHES_IN_AREA,0.76,46
PROGRESSIVE_PASSES_RECIEVED,0.14,47
PRESSURES,9.47,60
TACKLES,1.18,25
INTERCEPTIONS,1.70,48
BLOCKS,1.98,79
CLEARANCES,4.51,36
AERIAL_DUELS_WON,3.47,83
