Sansone,Nicola,Bologna
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.13,21
NON_PEN_XG,0.23,63
TOTAL_SHOTS,2.39,68
ASSISTS,0.25,75
XA,0.15,40
NON_PEN_XG+XA,0.38,49
SHOT_CREATIONS,3.71,68
PASSES_ATTEMPTED,38.94,51
PASS_COMPLETION_PERCENTAGE,75.3,48
PROGRESSIVE_PASSES,2.89,33
PROGRESSIVE CARRIES,6.34,57
DRIBBLES_COMPLETED,1.51,45
TOUCHES_IN_AREA,3.27,34
PROGRESSIVE_PASSES_RECIEVED,5.59,36
PRESSURES,18.97,74
TACKLES,1.88,80
INTERCEPTIONS,0.69,30
BLOCKS,1.00,32
CLEARANCES,0.69,69
AERIAL_DUELS_WON,0.50,33
