Orsolini,Riccardo,Bologna
RAM,AM,RW
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.10,15
NON_PEN_XG,0.25,69
TOTAL_SHOTS,2.69,80
ASSISTS,0.20,55
XA,0.12,23
NON_PEN_XG+XA,0.37,46
SHOT_CREATIONS,3.28,55
PASSES_ATTEMPTED,38.34,48
PASS_COMPLETION_PERCENTAGE,67.2,11
PROGRESSIVE_PASSES,3.33,51
PROGRESSIVE CARRIES,5.72,43
DRIBBLES_COMPLETED,1.49,43
TOUCHES_IN_AREA,3.43,36
PROGRESSIVE_PASSES_RECIEVED,4.87,22
PRESSURES,13.87,30
TACKLES,1.44,58
INTERCEPTIONS,0.60,24
BLOCKS,1.29,60
CLEARANCES,0.90,84
AERIAL_DUELS_WON,1.24,81
