Godín,Diego,Cagliari
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.03,30
TOTAL_SHOTS,0.48,49
ASSISTS,0.03,67
XA,0.03,80
NON_PEN_XG+XA,0.06,49
SHOT_CREATIONS,0.81,80
PASSES_ATTEMPTED,50.22,44
PASS_COMPLETION_PERCENTAGE,87.2,54
PROGRESSIVE_PASSES,2.42,42
PROGRESSIVE CARRIES,3.22,66
DRIBBLES_COMPLETED,0.55,92
TOUCHES_IN_AREA,1.16,82
PROGRESSIVE_PASSES_RECIEVED,0.32,82
PRESSURES,10.64,73
TACKLES,2.10,81
INTERCEPTIONS,1.74,52
BLOCKS,1.90,74
CLEARANCES,6.45,87
AERIAL_DUELS_WON,3.13,71
