Pinamonti,Andrea,Empoli
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.35,47
NON_PEN_XG,0.36,51
TOTAL_SHOTS,3.29,85
ASSISTS,0.07,27
XA,0.06,15
NON_PEN_XG+XA,0.41,33
SHOT_CREATIONS,2.38,58
PASSES_ATTEMPTED,21.63,38
PASS_COMPLETION_PERCENTAGE,61.8,6
PROGRESSIVE_PASSES,1.05,20
PROGRESSIVE CARRIES,2.94,53
DRIBBLES_COMPLETED,0.35,7
TOUCHES_IN_AREA,6.02,76
PROGRESSIVE_PASSES_RECIEVED,8.19,63
PRESSURES,14.28,48
TACKLES,0.28,7
INTERCEPTIONS,0.35,43
BLOCKS,0.49,17
CLEARANCES,0.91,76
AERIAL_DUELS_WON,3.15,78
