Romagnoli,Simone,Empoli
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.30,99
NON_PEN_XG,0.21,99
TOTAL_SHOTS,0.74,80
ASSISTS,0.00,28
XA,0.01,54
NON_PEN_XG+XA,0.24,99
SHOT_CREATIONS,0.74,75
PASSES_ATTEMPTED,49.72,41
PASS_COMPLETION_PERCENTAGE,80.7,12
PROGRESSIVE_PASSES,3.10,65
PROGRESSIVE CARRIES,1.77,28
DRIBBLES_COMPLETED,0.15,31
TOUCHES_IN_AREA,1.18,83
PROGRESSIVE_PASSES_RECIEVED,0.00,3
PRESSURES,10.18,68
TACKLES,1.62,62
INTERCEPTIONS,1.18,9
BLOCKS,2.51,98
CLEARANCES,3.69,12
AERIAL_DUELS_WON,3.69,88
