González,Nicolás,Fiorentina
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.20,45
NON_PEN_XG,0.37,91
TOTAL_SHOTS,3.17,94
ASSISTS,0.27,79
XA,0.18,55
NON_PEN_XG+XA,0.55,84
SHOT_CREATIONS,2.43,16
PASSES_ATTEMPTED,28.56,10
PASS_COMPLETION_PERCENTAGE,71.9,26
PROGRESSIVE_PASSES,2.70,30
PROGRESSIVE CARRIES,4.79,23
DRIBBLES_COMPLETED,1.55,48
TOUCHES_IN_AREA,6.35,89
PROGRESSIVE_PASSES_RECIEVED,7.70,78
PRESSURES,14.18,32
TACKLES,1.08,29
INTERCEPTIONS,0.88,49
BLOCKS,1.55,80
CLEARANCES,0.14,7
AERIAL_DUELS_WON,2.36,96
