Saponara,Riccardo,Fiorentina
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.36,84
NON_PEN_XG,0.19,43
TOTAL_SHOTS,2.50,71
ASSISTS,0.18,47
XA,0.23,80
NON_PEN_XG+XA,0.42,61
SHOT_CREATIONS,3.65,68
PASSES_ATTEMPTED,35.82,38
PASS_COMPLETION_PERCENTAGE,77.9,61
PROGRESSIVE_PASSES,5.61,93
PROGRESSIVE CARRIES,9.62,93
DRIBBLES_COMPLETED,1.25,30
TOUCHES_IN_AREA,5.26,78
PROGRESSIVE_PASSES_RECIEVED,4.54,16
PRESSURES,7.57,1
TACKLES,0.62,3
INTERCEPTIONS,0.62,25
BLOCKS,0.62,8
CLEARANCES,0.45,38
AERIAL_DUELS_WON,0.89,69
