Sottil,Riccardo,Fiorentina
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.18,38
NON_PEN_XG,0.23,61
TOTAL_SHOTS,1.91,45
ASSISTS,0.18,49
XA,0.11,14
NON_PEN_XG+XA,0.34,38
SHOT_CREATIONS,1.73,2
PASSES_ATTEMPTED,29.79,16
PASS_COMPLETION_PERCENTAGE,77.4,57
PROGRESSIVE_PASSES,2.36,22
PROGRESSIVE CARRIES,8.26,85
DRIBBLES_COMPLETED,1.73,55
TOUCHES_IN_AREA,3.81,47
PROGRESSIVE_PASSES_RECIEVED,5.90,42
PRESSURES,10.53,7
TACKLES,0.64,4
INTERCEPTIONS,0.27,1
BLOCKS,0.64,8
CLEARANCES,0.54,54
AERIAL_DUELS_WON,0.54,39
