Cambiaso,Andrea,Genoa
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,73
NON_PEN_XG,0.05,62
TOTAL_SHOTS,0.66,59
ASSISTS,0.26,95
XA,0.10,67
NON_PEN_XG+XA,0.14,65
SHOT_CREATIONS,2.29,82
PASSES_ATTEMPTED,46.77,23
PASS_COMPLETION_PERCENTAGE,78.6,59
PROGRESSIVE_PASSES,2.69,14
PROGRESSIVE CARRIES,7.01,90
DRIBBLES_COMPLETED,1.57,89
TOUCHES_IN_AREA,2.03,77
PROGRESSIVE_PASSES_RECIEVED,2.29,60
PRESSURES,15.33,80
TACKLES,2.10,56
INTERCEPTIONS,1.38,31
BLOCKS,2.55,91
CLEARANCES,1.18,5
AERIAL_DUELS_WON,0.72,21
