Criscito,Domenico,Genoa
CB,LB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.01,6
TOTAL_SHOTS,0.59,68
ASSISTS,0.03,67
XA,0.03,75
NON_PEN_XG+XA,0.04,20
SHOT_CREATIONS,0.65,64
PASSES_ATTEMPTED,55.46,59
PASS_COMPLETION_PERCENTAGE,80.1,11
PROGRESSIVE_PASSES,4.36,91
PROGRESSIVE CARRIES,4.65,87
DRIBBLES_COMPLETED,0.26,63
TOUCHES_IN_AREA,0.62,28
PROGRESSIVE_PASSES_RECIEVED,0.20,62
PRESSURES,11.81,83
TACKLES,2.11,82
INTERCEPTIONS,2.18,80
BLOCKS,1.72,58
CLEARANCES,3.87,15
AERIAL_DUELS_WON,1.40,6
