Melegoni,Filippo,Genoa
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.19,93
NON_PEN_XG,0.09,75
TOTAL_SHOTS,1.14,68
ASSISTS,0.00,11
XA,0.08,58
NON_PEN_XG+XA,0.17,68
SHOT_CREATIONS,2.09,63
PASSES_ATTEMPTED,48.99,46
PASS_COMPLETION_PERCENTAGE,82.9,44
PROGRESSIVE_PASSES,3.99,54
PROGRESSIVE CARRIES,5.70,85
DRIBBLES_COMPLETED,1.71,94
TOUCHES_IN_AREA,1.52,71
PROGRESSIVE_PASSES_RECIEVED,5.13,94
PRESSURES,22.78,87
TACKLES,1.52,14
INTERCEPTIONS,1.71,60
BLOCKS,0.95,6
CLEARANCES,0.95,21
AERIAL_DUELS_WON,0.38,6
