Vanheusden,Zinho,Genoa
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.02,12
TOTAL_SHOTS,0.67,77
ASSISTS,0.00,28
XA,0.00,4
NON_PEN_XG+XA,0.02,4
SHOT_CREATIONS,0.50,44
PASSES_ATTEMPTED,46.75,30
PASS_COMPLETION_PERCENTAGE,83.6,28
PROGRESSIVE_PASSES,2.67,52
PROGRESSIVE CARRIES,2.67,51
DRIBBLES_COMPLETED,0.17,37
TOUCHES_IN_AREA,1.00,72
PROGRESSIVE_PASSES_RECIEVED,0.50,91
PRESSURES,9.85,66
TACKLES,1.50,52
INTERCEPTIONS,1.84,61
BLOCKS,2.50,98
CLEARANCES,4.17,26
AERIAL_DUELS_WON,2.34,41
