Sánchez,Alexis,Inter
AM,LM,LW
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.69,95
NON_PEN_XG,0.41,69
TOTAL_SHOTS,2.74,70
ASSISTS,0.43,99
XA,0.38,99
NON_PEN_XG+XA,0.79,96
SHOT_CREATIONS,5.65,99
PASSES_ATTEMPTED,43.76,97
PASS_COMPLETION_PERCENTAGE,79.3,88
PROGRESSIVE_PASSES,6.17,99
PROGRESSIVE CARRIES,5.82,89
DRIBBLES_COMPLETED,2.23,96
TOUCHES_IN_AREA,6.77,87
PROGRESSIVE_PASSES_RECIEVED,11.47,98
PRESSURES,17.81,78
TACKLES,1.11,81
INTERCEPTIONS,1.20,99
BLOCKS,0.34,3
CLEARANCES,0.09,4
AERIAL_DUELS_WON,1.28,31
