D'Ambrosio,Danilo,Inter
RB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.11,87
NON_PEN_XG,0.06,76
TOTAL_SHOTS,0.86,91
ASSISTS,0.00,28
XA,0.01,41
NON_PEN_XG+XA,0.08,68
SHOT_CREATIONS,1.40,97
PASSES_ATTEMPTED,66.32,82
PASS_COMPLETION_PERCENTAGE,91.6,90
PROGRESSIVE_PASSES,2.58,50
PROGRESSIVE CARRIES,3.01,60
DRIBBLES_COMPLETED,0.32,75
TOUCHES_IN_AREA,1.29,87
PROGRESSIVE_PASSES_RECIEVED,1.08,97
PRESSURES,9.37,59
TACKLES,1.08,17
INTERCEPTIONS,0.86,1
BLOCKS,2.15,87
CLEARANCES,1.72,1
AERIAL_DUELS_WON,1.40,6
