Dumfries,Denzel,Inter
RB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.15,93
NON_PEN_XG,0.20,99
TOTAL_SHOTS,1.10,90
ASSISTS,0.22,91
XA,0.16,88
NON_PEN_XG+XA,0.36,99
SHOT_CREATIONS,2.78,91
PASSES_ATTEMPTED,37.83,5
PASS_COMPLETION_PERCENTAGE,76.0,36
PROGRESSIVE_PASSES,2.12,4
PROGRESSIVE CARRIES,3.15,15
DRIBBLES_COMPLETED,1.10,72
TOUCHES_IN_AREA,6.22,99
PROGRESSIVE_PASSES_RECIEVED,6.29,99
PRESSURES,12.00,42
TACKLES,0.95,3
INTERCEPTIONS,1.68,58
BLOCKS,1.32,10
CLEARANCES,1.83,26
AERIAL_DUELS_WON,2.78,97
