Vecino,Matías,Inter
AM,CM,DM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.27,98
NON_PEN_XG,0.33,99
TOTAL_SHOTS,1.50,85
ASSISTS,0.14,79
XA,0.12,85
NON_PEN_XG+XA,0.45,99
SHOT_CREATIONS,2.86,87
PASSES_ATTEMPTED,42.48,27
PASS_COMPLETION_PERCENTAGE,82.1,39
PROGRESSIVE_PASSES,5.17,78
PROGRESSIVE CARRIES,4.77,71
DRIBBLES_COMPLETED,0.41,15
TOUCHES_IN_AREA,2.45,88
PROGRESSIVE_PASSES_RECIEVED,3.13,85
PRESSURES,18.11,48
TACKLES,1.63,18
INTERCEPTIONS,0.95,12
BLOCKS,2.45,97
CLEARANCES,1.23,36
AERIAL_DUELS_WON,2.04,83
