Gagliardini,Roberto,Inter
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.26,98
NON_PEN_XG,0.12,83
TOTAL_SHOTS,1.02,57
ASSISTS,0.17,88
XA,0.09,70
NON_PEN_XG+XA,0.21,82
SHOT_CREATIONS,1.44,31
PASSES_ATTEMPTED,46.06,36
PASS_COMPLETION_PERCENTAGE,84.3,54
PROGRESSIVE_PASSES,3.23,34
PROGRESSIVE CARRIES,4.25,59
DRIBBLES_COMPLETED,0.34,10
TOUCHES_IN_AREA,2.72,92
PROGRESSIVE_PASSES_RECIEVED,4.08,91
PRESSURES,18.87,55
TACKLES,2.21,50
INTERCEPTIONS,1.70,59
BLOCKS,1.61,57
CLEARANCES,1.02,24
AERIAL_DUELS_WON,1.87,77
