Chiesa,Federico,Juventus
FW,WM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.39,88
NON_PEN_XG,0.30,84
TOTAL_SHOTS,2.74,82
ASSISTS,0.18,47
XA,0.16,43
NON_PEN_XG+XA,0.46,70
SHOT_CREATIONS,3.64,68
PASSES_ATTEMPTED,31.55,22
PASS_COMPLETION_PERCENTAGE,76.8,54
PROGRESSIVE_PASSES,3.25,47
PROGRESSIVE CARRIES,6.14,53
DRIBBLES_COMPLETED,1.79,57
TOUCHES_IN_AREA,4.98,73
PROGRESSIVE_PASSES_RECIEVED,5.19,27
PRESSURES,14.55,35
TACKLES,2.12,90
INTERCEPTIONS,0.57,17
BLOCKS,0.89,18
CLEARANCES,0.57,57
AERIAL_DUELS_WON,0.21,9
