Hysaj,Elseid,Lazio
RB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,43
NON_PEN_XG,0.02,23
TOTAL_SHOTS,0.23,13
ASSISTS,0.03,18
XA,0.05,28
NON_PEN_XG+XA,0.07,19
SHOT_CREATIONS,1.20,21
PASSES_ATTEMPTED,60.19,78
PASS_COMPLETION_PERCENTAGE,85.6,91
PROGRESSIVE_PASSES,3.25,38
PROGRESSIVE CARRIES,3.90,32
DRIBBLES_COMPLETED,0.86,54
TOUCHES_IN_AREA,0.83,22
PROGRESSIVE_PASSES_RECIEVED,1.14,16
PRESSURES,10.20,16
TACKLES,1.77,33
INTERCEPTIONS,1.71,59
BLOCKS,1.54,25
CLEARANCES,2.08,35
AERIAL_DUELS_WON,0.74,23
