"b'Radu, Stefan'",Lazio
CB,LB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.01,9
TOTAL_SHOTS,0.31,19
ASSISTS,0.13,99
XA,0.05,96
NON_PEN_XG+XA,0.07,54
SHOT_CREATIONS,1.41,97
PASSES_ATTEMPTED,56.61,61
PASS_COMPLETION_PERCENTAGE,83.2,24
PROGRESSIVE_PASSES,4.88,95
PROGRESSIVE CARRIES,4.88,90
DRIBBLES_COMPLETED,0.44,84
TOUCHES_IN_AREA,0.31,7
PROGRESSIVE_PASSES_RECIEVED,0.40,88
PRESSURES,8.93,52
TACKLES,1.50,52
INTERCEPTIONS,1.72,49
BLOCKS,1.63,49
CLEARANCES,2.82,3
AERIAL_DUELS_WON,1.72,12
