Florenzi,Alessandro,Milan
AM,RB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.03,35
TOTAL_SHOTS,0.89,78
ASSISTS,0.05,32
XA,0.08,49
NON_PEN_XG+XA,0.10,39
SHOT_CREATIONS,1.36,33
PASSES_ATTEMPTED,56.84,69
PASS_COMPLETION_PERCENTAGE,82.0,76
PROGRESSIVE_PASSES,3.44,46
PROGRESSIVE CARRIES,3.81,31
DRIBBLES_COMPLETED,0.42,16
TOUCHES_IN_AREA,2.19,80
PROGRESSIVE_PASSES_RECIEVED,3.13,81
PRESSURES,12.10,44
TACKLES,2.09,55
INTERCEPTIONS,1.67,57
BLOCKS,0.99,1
CLEARANCES,2.09,36
AERIAL_DUELS_WON,0.73,22
