Ballo-Touré,Fodé,Milan
LB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.09,87
TOTAL_SHOTS,0.57,51
ASSISTS,0.28,98
XA,0.10,68
NON_PEN_XG+XA,0.18,80
SHOT_CREATIONS,2.13,77
PASSES_ATTEMPTED,53.46,56
PASS_COMPLETION_PERCENTAGE,81.9,76
PROGRESSIVE_PASSES,3.27,40
PROGRESSIVE CARRIES,6.26,82
DRIBBLES_COMPLETED,1.14,76
TOUCHES_IN_AREA,3.41,95
PROGRESSIVE_PASSES_RECIEVED,6.82,99
PRESSURES,18.91,96
TACKLES,4.41,99
INTERCEPTIONS,1.28,24
BLOCKS,1.42,15
CLEARANCES,1.56,17
AERIAL_DUELS_WON,1.56,73
