Bennacer,Ismaël,Milan
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,50
NON_PEN_XG,0.04,26
TOTAL_SHOTS,0.66,30
ASSISTS,0.10,69
XA,0.08,61
NON_PEN_XG+XA,0.12,41
SHOT_CREATIONS,2.02,61
PASSES_ATTEMPTED,67.98,87
PASS_COMPLETION_PERCENTAGE,85.4,62
PROGRESSIVE_PASSES,5.57,84
PROGRESSIVE CARRIES,5.26,79
DRIBBLES_COMPLETED,1.87,96
TOUCHES_IN_AREA,0.56,16
PROGRESSIVE_PASSES_RECIEVED,1.21,31
PRESSURES,20.65,74
TACKLES,2.83,80
INTERCEPTIONS,2.02,80
BLOCKS,1.27,23
CLEARANCES,1.52,50
AERIAL_DUELS_WON,0.86,34
