Mertens,Dries,Napoli
FW,WM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.66,94
NON_PEN_XG,0.34,46
TOTAL_SHOTS,3.11,82
ASSISTS,0.13,50
XA,0.13,54
NON_PEN_XG+XA,0.46,45
SHOT_CREATIONS,3.31,86
PASSES_ATTEMPTED,27.44,71
PASS_COMPLETION_PERCENTAGE,75.4,68
PROGRESSIVE_PASSES,2.45,83
PROGRESSIVE CARRIES,2.78,50
DRIBBLES_COMPLETED,0.60,19
TOUCHES_IN_AREA,6.16,80
PROGRESSIVE_PASSES_RECIEVED,6.49,31
PRESSURES,19.35,87
TACKLES,0.86,67
INTERCEPTIONS,0.60,81
BLOCKS,0.40,7
CLEARANCES,0.33,25
AERIAL_DUELS_WON,0.13,1
