Koulibaly,Kalidou,Napoli
LCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,66
NON_PEN_XG,0.07,77
TOTAL_SHOTS,0.42,39
ASSISTS,0.03,65
XA,0.02,55
NON_PEN_XG+XA,0.08,75
SHOT_CREATIONS,0.72,73
PASSES_ATTEMPTED,65.09,79
PASS_COMPLETION_PERCENTAGE,88.1,63
PROGRESSIVE_PASSES,3.66,80
PROGRESSIVE CARRIES,3.51,74
DRIBBLES_COMPLETED,0.54,91
TOUCHES_IN_AREA,0.69,36
PROGRESSIVE_PASSES_RECIEVED,0.21,67
PRESSURES,9.71,64
TACKLES,2.04,79
INTERCEPTIONS,1.32,19
BLOCKS,1.98,80
CLEARANCES,3.99,22
AERIAL_DUELS_WON,2.16,34
