Insigne,Lorenzo,Napoli
LAM,AM,LW
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.22,54
NON_PEN_XG,0.28,80
TOTAL_SHOTS,4.20,99
ASSISTS,0.32,86
XA,0.29,91
NON_PEN_XG+XA,0.57,86
SHOT_CREATIONS,5.21,95
PASSES_ATTEMPTED,57.65,95
PASS_COMPLETION_PERCENTAGE,79.0,68
PROGRESSIVE_PASSES,5.68,93
PROGRESSIVE CARRIES,9.26,92
DRIBBLES_COMPLETED,1.70,53
TOUCHES_IN_AREA,5.98,85
PROGRESSIVE_PASSES_RECIEVED,7.09,64
PRESSURES,12.94,19
TACKLES,0.89,17
INTERCEPTIONS,1.68,96
BLOCKS,1.16,49
CLEARANCES,0.27,18
AERIAL_DUELS_WON,0.17,7
