"b'Zielinski, Piotr'",Napoli
AM,CM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.34,82
NON_PEN_XG,0.20,51
TOTAL_SHOTS,2.20,61
ASSISTS,0.31,86
XA,0.19,62
NON_PEN_XG+XA,0.39,55
SHOT_CREATIONS,4.05,80
PASSES_ATTEMPTED,44.08,71
PASS_COMPLETION_PERCENTAGE,82.7,89
PROGRESSIVE_PASSES,3.92,70
PROGRESSIVE CARRIES,6.09,52
DRIBBLES_COMPLETED,1.52,45
TOUCHES_IN_AREA,3.50,37
PROGRESSIVE_PASSES_RECIEVED,6.80,59
PRESSURES,11.40,11
TACKLES,0.81,11
INTERCEPTIONS,0.73,31
BLOCKS,0.94,25
CLEARANCES,0.31,23
AERIAL_DUELS_WON,0.16,5
