Pellegrini,Lorenzo,Roma
AM,CM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.30,72
NON_PEN_XG,0.24,66
TOTAL_SHOTS,2.88,89
ASSISTS,0.22,65
XA,0.28,89
NON_PEN_XG+XA,0.53,80
SHOT_CREATIONS,4.60,89
PASSES_ATTEMPTED,46.18,78
PASS_COMPLETION_PERCENTAGE,74.1,36
PROGRESSIVE_PASSES,4.16,76
PROGRESSIVE CARRIES,6.30,57
DRIBBLES_COMPLETED,1.31,34
TOUCHES_IN_AREA,3.67,43
PROGRESSIVE_PASSES_RECIEVED,6.46,51
PRESSURES,20.10,82
TACKLES,1.45,58
INTERCEPTIONS,1.01,61
BLOCKS,1.07,36
CLEARANCES,0.63,62
AERIAL_DUELS_WON,0.52,35
