Kumbulla,Marash,Roma
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.03,22
TOTAL_SHOTS,0.40,36
ASSISTS,0.00,28
XA,0.01,26
NON_PEN_XG+XA,0.03,14
SHOT_CREATIONS,0.46,40
PASSES_ATTEMPTED,54.34,54
PASS_COMPLETION_PERCENTAGE,90.5,83
PROGRESSIVE_PASSES,2.31,37
PROGRESSIVE CARRIES,2.97,59
DRIBBLES_COMPLETED,0.20,47
TOUCHES_IN_AREA,0.66,33
PROGRESSIVE_PASSES_RECIEVED,0.13,44
PRESSURES,13.27,93
TACKLES,1.25,30
INTERCEPTIONS,1.25,13
BLOCKS,1.12,5
CLEARANCES,2.91,4
AERIAL_DUELS_WON,2.58,51
