El Shaarawy,Stephan,Roma
AM,LM,LW
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.27,61
NON_PEN_XG,0.25,70
TOTAL_SHOTS,2.99,91
ASSISTS,0.14,30
XA,0.21,70
NON_PEN_XG+XA,0.46,70
SHOT_CREATIONS,3.87,75
PASSES_ATTEMPTED,41.43,61
PASS_COMPLETION_PERCENTAGE,80.5,79
PROGRESSIVE_PASSES,2.99,39
PROGRESSIVE CARRIES,7.13,72
DRIBBLES_COMPLETED,1.43,40
TOUCHES_IN_AREA,5.64,82
PROGRESSIVE_PASSES_RECIEVED,6.18,48
PRESSURES,12.97,20
TACKLES,1.15,33
INTERCEPTIONS,1.09,67
BLOCKS,1.56,80
CLEARANCES,0.54,54
AERIAL_DUELS_WON,0.75,57
