Di Tacchio,Francesco,Salernitana
FW,CM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.04,26
TOTAL_SHOTS,1.10,65
ASSISTS,0.00,11
XA,0.01,2
NON_PEN_XG+XA,0.05,7
SHOT_CREATIONS,0.82,6
PASSES_ATTEMPTED,40.48,21
PASS_COMPLETION_PERCENTAGE,80.8,31
PROGRESSIVE_PASSES,4.02,55
PROGRESSIVE CARRIES,1.92,7
DRIBBLES_COMPLETED,0.18,1
TOUCHES_IN_AREA,0.64,22
PROGRESSIVE_PASSES_RECIEVED,0.55,6
PRESSURES,13.71,10
TACKLES,1.55,15
INTERCEPTIONS,2.56,95
BLOCKS,2.10,87
CLEARANCES,1.74,67
AERIAL_DUELS_WON,1.28,53
