Obi,Joel,Salernitana
CM,DM,LM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.18,95
TOTAL_SHOTS,1.10,65
ASSISTS,0.11,72
XA,0.15,91
NON_PEN_XG+XA,0.33,96
SHOT_CREATIONS,1.87,53
PASSES_ATTEMPTED,30.33,3
PASS_COMPLETION_PERCENTAGE,78.6,20
PROGRESSIVE_PASSES,0.88,1
PROGRESSIVE CARRIES,1.54,4
DRIBBLES_COMPLETED,0.44,17
TOUCHES_IN_AREA,2.86,95
PROGRESSIVE_PASSES_RECIEVED,3.96,91
PRESSURES,22.31,84
TACKLES,1.98,37
INTERCEPTIONS,1.21,23
BLOCKS,1.54,50
CLEARANCES,0.77,12
AERIAL_DUELS_WON,1.87,77
