"b'uric, Milan'",Salernitana
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.12,3
NON_PEN_XG,0.27,25
TOTAL_SHOTS,2.00,26
ASSISTS,0.00,5
XA,0.07,17
NON_PEN_XG+XA,0.34,15
SHOT_CREATIONS,1.29,5
PASSES_ATTEMPTED,27.38,69
PASS_COMPLETION_PERCENTAGE,54.5,1
PROGRESSIVE_PASSES,1.29,38
PROGRESSIVE CARRIES,1.06,4
DRIBBLES_COMPLETED,0.35,7
TOUCHES_IN_AREA,6.70,86
PROGRESSIVE_PASSES_RECIEVED,4.82,4
PRESSURES,7.99,4
TACKLES,0.35,12
INTERCEPTIONS,0.24,18
BLOCKS,0.35,4
CLEARANCES,0.94,78
AERIAL_DUELS_WON,10.93,99
