"b'Bereszynski, Bartosz'",Sampdoria
RB,DF,FW
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,44
NON_PEN_XG,0.02,27
TOTAL_SHOTS,0.18,5
ASSISTS,0.06,40
XA,0.04,16
NON_PEN_XG+XA,0.06,10
SHOT_CREATIONS,1.18,19
PASSES_ATTEMPTED,51.28,43
PASS_COMPLETION_PERCENTAGE,80.0,67
PROGRESSIVE_PASSES,3.06,29
PROGRESSIVE CARRIES,3.56,27
DRIBBLES_COMPLETED,0.53,26
TOUCHES_IN_AREA,0.94,29
PROGRESSIVE_PASSES_RECIEVED,1.56,30
PRESSURES,15.51,82
TACKLES,2.50,74
INTERCEPTIONS,1.29,26
BLOCKS,2.62,93
CLEARANCES,2.47,53
AERIAL_DUELS_WON,1.50,71
