Askildsen,Kristoffer,Sampdoria
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.03,24
TOTAL_SHOTS,1.00,56
ASSISTS,0.00,11
XA,0.03,20
NON_PEN_XG+XA,0.07,15
SHOT_CREATIONS,0.67,3
PASSES_ATTEMPTED,25.17,1
PASS_COMPLETION_PERCENTAGE,66.9,1
PROGRESSIVE_PASSES,2.67,15
PROGRESSIVE CARRIES,1.00,1
DRIBBLES_COMPLETED,0.50,25
TOUCHES_IN_AREA,1.33,61
PROGRESSIVE_PASSES_RECIEVED,3.00,84
PRESSURES,19.83,67
TACKLES,2.17,48
INTERCEPTIONS,2.00,79
BLOCKS,2.67,99
CLEARANCES,2.00,80
AERIAL_DUELS_WON,3.17,97
