Yoshida,Maya,Sampdoria
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.10,84
NON_PEN_XG,0.08,88
TOTAL_SHOTS,0.61,71
ASSISTS,0.10,98
XA,0.04,89
NON_PEN_XG+XA,0.12,93
SHOT_CREATIONS,0.70,71
PASSES_ATTEMPTED,44.84,25
PASS_COMPLETION_PERCENTAGE,84.9,36
PROGRESSIVE_PASSES,2.24,33
PROGRESSIVE CARRIES,1.06,9
DRIBBLES_COMPLETED,0.16,34
TOUCHES_IN_AREA,0.90,62
PROGRESSIVE_PASSES_RECIEVED,0.19,62
PRESSURES,7.20,26
TACKLES,1.12,20
INTERCEPTIONS,1.95,68
BLOCKS,1.89,72
CLEARANCES,5.05,52
AERIAL_DUELS_WON,2.59,52
