Marco Ferrari,Gian,Sassuolo
LCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,35
NON_PEN_XG,0.05,60
TOTAL_SHOTS,0.74,81
ASSISTS,0.05,81
XA,0.02,62
NON_PEN_XG+XA,0.07,59
SHOT_CREATIONS,0.87,84
PASSES_ATTEMPTED,77.79,97
PASS_COMPLETION_PERCENTAGE,91.6,90
PROGRESSIVE_PASSES,4.43,92
PROGRESSIVE CARRIES,5.37,94
DRIBBLES_COMPLETED,0.23,56
TOUCHES_IN_AREA,1.12,80
PROGRESSIVE_PASSES_RECIEVED,0.36,85
PRESSURES,5.62,6
TACKLES,0.97,13
INTERCEPTIONS,1.37,23
BLOCKS,1.83,68
CLEARANCES,4.55,37
AERIAL_DUELS_WON,2.85,63
