Boga,Jeremie,Sassuolo
LAM,AM,LW
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.15,28
NON_PEN_XG,0.18,41
TOTAL_SHOTS,1.94,47
ASSISTS,0.15,35
XA,0.08,4
NON_PEN_XG+XA,0.27,18
SHOT_CREATIONS,2.66,24
PASSES_ATTEMPTED,38.73,50
PASS_COMPLETION_PERCENTAGE,86.5,99
PROGRESSIVE_PASSES,2.23,19
PROGRESSIVE CARRIES,8.71,88
DRIBBLES_COMPLETED,3.53,96
TOUCHES_IN_AREA,4.79,69
PROGRESSIVE_PASSES_RECIEVED,5.81,42
PRESSURES,10.22,6
TACKLES,0.77,8
INTERCEPTIONS,0.58,19
BLOCKS,1.02,32
CLEARANCES,0.39,32
AERIAL_DUELS_WON,0.24,12
