Haraslín,Lukáš,Sassuolo
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.27,61
NON_PEN_XG,0.22,57
TOTAL_SHOTS,2.74,83
ASSISTS,0.00,1
XA,0.11,14
NON_PEN_XG+XA,0.33,35
SHOT_CREATIONS,3.16,48
PASSES_ATTEMPTED,31.14,21
PASS_COMPLETION_PERCENTAGE,70.9,22
PROGRESSIVE_PASSES,2.33,22
PROGRESSIVE CARRIES,5.76,45
DRIBBLES_COMPLETED,2.20,74
TOUCHES_IN_AREA,4.80,69
PROGRESSIVE_PASSES_RECIEVED,7.00,63
PRESSURES,13.45,26
TACKLES,1.92,82
INTERCEPTIONS,1.78,98
BLOCKS,0.82,14
CLEARANCES,0.96,87
AERIAL_DUELS_WON,0.96,73
