Colley,Ebrima,Spezia
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.13,21
NON_PEN_XG,0.22,57
TOTAL_SHOTS,2.11,57
ASSISTS,0.00,1
XA,0.26,86
NON_PEN_XG+XA,0.49,75
SHOT_CREATIONS,2.76,29
PASSES_ATTEMPTED,33.16,26
PASS_COMPLETION_PERCENTAGE,72.2,27
PROGRESSIVE_PASSES,3.03,39
PROGRESSIVE CARRIES,6.32,57
DRIBBLES_COMPLETED,1.97,65
TOUCHES_IN_AREA,2.63,17
PROGRESSIVE_PASSES_RECIEVED,6.58,55
PRESSURES,17.37,62
TACKLES,1.18,35
INTERCEPTIONS,0.53,14
BLOCKS,1.18,52
CLEARANCES,0.26,17
AERIAL_DUELS_WON,0.66,49
