Bourabia,Mehdi,Spezia
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.20,94
NON_PEN_XG,0.04,29
TOTAL_SHOTS,1.19,71
ASSISTS,0.00,11
XA,0.00,1
NON_PEN_XG+XA,0.06,12
SHOT_CREATIONS,0.40,1
PASSES_ATTEMPTED,47.97,42
PASS_COMPLETION_PERCENTAGE,79.3,23
PROGRESSIVE_PASSES,3.37,39
PROGRESSIVE CARRIES,2.97,29
DRIBBLES_COMPLETED,2.18,98
TOUCHES_IN_AREA,0.59,19
PROGRESSIVE_PASSES_RECIEVED,0.99,19
PRESSURES,18.04,47
TACKLES,1.19,5
INTERCEPTIONS,1.98,78
BLOCKS,2.58,98
CLEARANCES,2.38,90
AERIAL_DUELS_WON,1.78,74
