Belotti,Andrea,Torino
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.15,7
NON_PEN_XG,0.26,23
TOTAL_SHOTS,3.16,83
ASSISTS,0.19,75
XA,0.18,79
NON_PEN_XG+XA,0.44,43
SHOT_CREATIONS,3.69,93
PASSES_ATTEMPTED,22.97,49
PASS_COMPLETION_PERCENTAGE,68.2,21
PROGRESSIVE_PASSES,1.73,63
PROGRESSIVE CARRIES,4.59,81
DRIBBLES_COMPLETED,1.62,84
TOUCHES_IN_AREA,5.23,56
PROGRESSIVE_PASSES_RECIEVED,7.57,52
PRESSURES,12.20,29
TACKLES,0.56,38
INTERCEPTIONS,0.49,68
BLOCKS,1.13,83
CLEARANCES,0.41,29
AERIAL_DUELS_WON,3.05,77
