Baselli,Daniele,Torino
CM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.10,79
TOTAL_SHOTS,0.83,42
ASSISTS,0.00,11
XA,0.10,74
NON_PEN_XG+XA,0.20,79
SHOT_CREATIONS,2.50,78
PASSES_ATTEMPTED,51.43,52
PASS_COMPLETION_PERCENTAGE,75.0,6
PROGRESSIVE_PASSES,4.68,70
PROGRESSIVE CARRIES,4.51,64
DRIBBLES_COMPLETED,0.83,56
TOUCHES_IN_AREA,1.17,55
PROGRESSIVE_PASSES_RECIEVED,2.50,71
PRESSURES,22.71,87
TACKLES,2.17,48
INTERCEPTIONS,1.67,55
BLOCKS,1.00,8
CLEARANCES,1.50,49
AERIAL_DUELS_WON,2.00,82
