Pjaca,Marko,Torino
FW,WM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.19,42
NON_PEN_XG,0.19,44
TOTAL_SHOTS,2.11,57
ASSISTS,0.13,28
XA,0.12,17
NON_PEN_XG+XA,0.31,28
SHOT_CREATIONS,2.87,34
PASSES_ATTEMPTED,33.85,28
PASS_COMPLETION_PERCENTAGE,80.4,79
PROGRESSIVE_PASSES,1.98,13
PROGRESSIVE CARRIES,5.81,45
DRIBBLES_COMPLETED,1.60,50
TOUCHES_IN_AREA,4.09,55
PROGRESSIVE_PASSES_RECIEVED,7.54,76
PRESSURES,12.78,18
TACKLES,1.02,26
INTERCEPTIONS,0.57,18
BLOCKS,0.96,28
CLEARANCES,0.64,64
AERIAL_DUELS_WON,0.89,69
