Vojvoda,Mërgim,Torino
RB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.13,90
NON_PEN_XG,0.09,89
TOTAL_SHOTS,0.73,69
ASSISTS,0.00,8
XA,0.05,21
NON_PEN_XG+XA,0.14,62
SHOT_CREATIONS,1.12,17
PASSES_ATTEMPTED,48.34,29
PASS_COMPLETION_PERCENTAGE,76.5,40
PROGRESSIVE_PASSES,3.31,41
PROGRESSIVE CARRIES,2.78,11
DRIBBLES_COMPLETED,0.60,35
TOUCHES_IN_AREA,1.45,55
PROGRESSIVE_PASSES_RECIEVED,1.45,27
PRESSURES,10.51,19
TACKLES,1.52,18
INTERCEPTIONS,1.06,8
BLOCKS,1.79,44
CLEARANCES,2.65,64
AERIAL_DUELS_WON,0.93,33
