Nuytinck,Bram,Udinese
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,44
NON_PEN_XG,0.02,19
TOTAL_SHOTS,0.31,20
ASSISTS,0.00,28
XA,0.01,28
NON_PEN_XG+XA,0.03,16
SHOT_CREATIONS,0.34,19
PASSES_ATTEMPTED,41.30,15
PASS_COMPLETION_PERCENTAGE,86.3,46
PROGRESSIVE_PASSES,1.48,10
PROGRESSIVE CARRIES,1.86,30
DRIBBLES_COMPLETED,0.10,19
TOUCHES_IN_AREA,0.62,28
PROGRESSIVE_PASSES_RECIEVED,0.03,9
PRESSURES,9.85,66
TACKLES,1.55,56
INTERCEPTIONS,1.41,25
BLOCKS,2.34,94
CLEARANCES,5.86,77
AERIAL_DUELS_WON,2.10,30
