Udogie,Iyenoma,Udinese
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.05,66
TOTAL_SHOTS,0.76,70
ASSISTS,0.00,8
XA,0.02,2
NON_PEN_XG+XA,0.07,17
SHOT_CREATIONS,1.70,52
PASSES_ATTEMPTED,41.99,10
PASS_COMPLETION_PERCENTAGE,82.0,76
PROGRESSIVE_PASSES,1.87,2
PROGRESSIVE CARRIES,4.92,58
DRIBBLES_COMPLETED,1.10,73
TOUCHES_IN_AREA,1.53,59
PROGRESSIVE_PASSES_RECIEVED,1.70,33
PRESSURES,18.58,95
TACKLES,2.80,83
INTERCEPTIONS,2.12,85
BLOCKS,2.21,77
CLEARANCES,1.44,11
AERIAL_DUELS_WON,1.02,39
